Image_Name	Image_Mid_Time	Exposure_Duration	Filter_Wheel1	Filter_Wheel2	Gain_Mode_ID	Instrument_Mode_ID	Data_Conversion_Type	Inst_Cmprs_Type	Ring_Subspacecraft_Latitude	Observation_ID
N1620768097_1	2009131204024564	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	8.2051041	ISS_110OT_SATELLORB009_PRIME
N1620768130_1	2009131204057833	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	8.2143656	ISS_110OT_SATELLORB009_PRIME
N1620768262_1	2009131204309563	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	8.2510283	ISS_110OT_SATELLORB009_PRIME
N1620768295_1	2009131204342832	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	8.2602854	ISS_110OT_SATELLORB009_PRIME
N1620768513_1	2009131204718101	5600	CL1	CL2	29 ELECTRONS PER DN	FULL	12BIT	LOSSLESS	8.3201623	ISS_110OT_SATELLORB009_PRIME
N1620768601_1	2009131204829904	38000	CL1	CL2	29 ELECTRONS PER DN	FULL	12BIT	LOSSLESS	8.340126	ISS_110OT_SATELLORB009_PRIME
N1620768858_1	2009131205303099	5600	CL1	CL2	29 ELECTRONS PER DN	FULL	12BIT	LOSSLESS	8.4160453	ISS_110OT_SATELLORB009_PRIME
N1620768946_1	2009131205414902	38000	CL1	CL2	29 ELECTRONS PER DN	FULL	12BIT	LOSSLESS	8.4359893	ISS_110OT_SATELLORB009_PRIME
N1620769252_1	2009131205939556	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	8.5261123	ISS_110OT_SATELLORB009_PRIME
N1620769285_1	2009131210012825	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	8.5353426	ISS_110OT_SATELLORB009_PRIME
N1620814647_1	2009132093614343	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.30462	ISS_110RI_MNRNGSHAD011_PRIME
W1620814647_1	2009132093614548	50	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.30467	ISS_110RI_MNRNGSHAD011_PRIME
N1620814938_1	2009132094105325	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.37495	ISS_110RI_MNRNGSHAD011_PRIME
N1620815238_1	2009132094605323	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.447392	ISS_110RI_MNRNGSHAD011_PRIME
N1620815538_1	2009132095105321	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.519766	ISS_110RI_MNRNGSHAD011_PRIME
N1620815838_1	2009132095605319	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.592071	ISS_110RI_MNRNGSHAD011_PRIME
N1620816138_1	2009132100105317	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.664308	ISS_110RI_MNRNGSHAD011_PRIME
N1620816438_1	2009132100605315	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.736477	ISS_110RI_MNRNGSHAD011_PRIME
N1620816738_1	2009132101105313	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.808577	ISS_110RI_MNRNGSHAD011_PRIME
N1620817038_1	2009132101605310	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.880609	ISS_110RI_MNRNGSHAD011_PRIME
N1620817338_1	2009132102105308	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	20.952573	ISS_110RI_MNRNGSHAD011_PRIME
N1620817638_1	2009132102605306	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.024469	ISS_110RI_MNRNGSHAD011_PRIME
N1620817938_1	2009132103105304	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.096298	ISS_110RI_MNRNGSHAD011_PRIME
N1620818238_1	2009132103605302	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.168058	ISS_110RI_MNRNGSHAD011_PRIME
N1620818538_1	2009132104105300	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.23975	ISS_110RI_MNRNGSHAD011_PRIME
N1620818838_1	2009132104605298	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.311374	ISS_110RI_MNRNGSHAD011_PRIME
N1620819139_10	2009132105106296	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.383168	ISS_110RI_MNRNGSHAD011_PRIME
W1620819139_1	2009132105106501	50	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.383217	ISS_110RI_MNRNGSHAD011_PRIME
N1620819438_1	2009132105605293	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.454418	ISS_110RI_MNRNGSHAD011_PRIME
N1620819738_1	2009132110105291	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.525838	ISS_110RI_MNRNGSHAD011_PRIME
N1620820038_1	2009132110605289	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.597191	ISS_110RI_MNRNGSHAD011_PRIME
N1620820338_1	2009132111105287	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.668476	ISS_110RI_MNRNGSHAD011_PRIME
N1620820638_1	2009132111605285	460	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	21.739693	ISS_110RI_MNRNGSHAD011_PRIME
