! Enter SATUPDATE/15 28-Nov-2007 10:16:50.025 linked 24-May-2007 21:28:41
! Enter SATUPDATE/15 26-Nov-2007 14:06:57.717 linked 24-May-2007 21:28:41
! Enter SATUPDATE/15 16-Nov-2007 21:21:29.008 linked 24-May-2007 21:28:41
! Enter SATUPDATE/15 08-Nov-2007 12:48:44.531 linked 24-May-2007 21:28:41
! Enter SATUPDATE/15 13-Oct-2007 13:32:13.496 linked 24-May-2007 21:28:41
! Enter SATUPDATE/15 04-Oct-2007 14:40:12.862 linked 24-May-2007 21:28:41
! Enter SATUPDATE/15 11-Sep-2007 14:10: 4.331 linked 24-May-2007 21:28:41
$ Identification
Astrometric, Pioneer, Voyager, and Cassini data - SAT282.9
$ Equinox
'2451545.0'
$ Astronomical_unit
AU   -1.0
$ Planetary_system
 6    SATURN            GM6       3.794058541910321E+07
$ Integrated_satellites
  601 MIMAS             601GM     2.503952092554610E+00
  602 ENCELADUS         602GM     7.209671945222563E+00
  603 TETHYS            603GM     4.121099066579779E+01
  604 DIONE             604GM     7.311287311203021E+01
  605 RHEA              605GM     1.539423505225572E+02
  606 TITAN             606GM     8.978136959308558E+03
  607 HYPERION          607GM     3.723649443946766E-01
  608 IAPETUS           608GM     1.205028980426821E+02
  609 PHOEBE            609GM     5.535189069110380E-01
  612 HELENE            612GM     0.000000000000000E+00
  613 TELESTO           613GM     0.000000000000000E+00
  614 CALYPSO           614GM     0.000000000000000E+00
  632 METHONE           632GM     0.000000000000000E+00
$ Perturbing_external_bodies
5    JUPITER   GM5      126712764.8582231E+00  ! de414
10   SUN       GM10     132713233266.4355E+00  ! de414 incl. inner planets
$ Body_orientation
MODEL    600  IAU
TIME     600  POLTIM     '01-JAN-2000 12:00:00'
RA   600 ZACPL6   4.058207943778553E+01
RADOT   600 DACPL6  -2.753000000000000E-02
DE   600 ZDEPL6   8.353773322729246E+01
DEDOT   600 DDEPL6  -4.758000000000000E-03
W        600  WPL6        38.90000000000000E+00
WDOT     600  WDP6        8.107939024000000E+02
$ Planet_gravity
R     RADIUS  6.033000000000000E+04
J  2  J602      1.629056671584016E-02
J  4  J604     -9.364458140325167E-04
J  6  J606      8.612797673555138E-05
J  8  J608   -1.000000000000000E-05
$ Epoch
'02-JAN-2004 00:00:00.0000'  !  2453006.500000000
$ State_vectors
X   601  601X     -1.215912392220220E+05
Y   601  601Y     -1.377670042774629E+05
Z   601  601Z      1.650639204650806E+04
DX  601  601DX     1.098894367359336E+01
DY  601  601DY    -9.334698189503991E+00
DZ  601  601DZ    -1.977011000079330E-02
X   602  602X     -2.370638213712850E+05
Y   602  602Y      1.790671866499764E+04
Z   602  602Z      1.906750450609515E+04
DX  602  602DX    -9.295050560161029E-01
DY  602  602DY    -1.255017003876359E+01
DZ  602  602DZ     1.006069178421731E+00
X   603  603X      2.684557221460629E+05
Y   603  603Y      1.147954142822866E+05
Z   603  603Z     -3.707038093884520E+04
DX  603  603DX    -4.498582370170934E+00
DY  603  603DY     1.041783293845872E+01
DZ  603  603DZ    -3.349451492250751E-01
X   604  604X      2.208145433422175E+05
Y   604  604Y     -3.068923674456194E+05
Z   604  604Z      3.596162974384136E+03
DX  604  604DX     8.070721214280795E+00
DY  604  604DY     5.809970328231763E+00
DZ  604  604DZ    -1.116966282859897E+00
X   605  605X      5.161070298349716E+05
Y   605  605Y      8.764726630866964E+04
Z   605  605Z     -5.378853598016145E+04
DX  605  605DX    -1.464150038188936E+00
DY  605  605DY     8.351695377060166E+00
DZ  605  605DZ    -4.688321129968888E-01
X   606  606X      1.139951733308115E+06
Y   606  606Y      3.343791421868421E+05
Z   606  606Z     -1.227393221325285E+05
DX  606  606DX    -1.526195265344913E+00
DY  606  606DY     5.483684833841953E+00
DZ  606  606DZ    -2.345470448157008E-01
X   607  607X      7.871284990026627E+05
Y   607  607Y     -1.039666786102193E+06
Z   607  607Z     -1.492412347587680E+04
DX  607  607DX     4.590955765401874E+00
DY  607  607DY     3.347944499243545E+00
DZ  607  607DZ    -6.095339535760775E-01
X   608  608X      3.334737380909338E+06
Y   608  608Y      7.619985233512255E+05
Z   608  608Z     -5.300506165901110E+05
DX  608  608DX    -6.232143421795485E-01
DY  608  608DY     3.222016220877776E+00
DZ  608  608DZ     7.038756762044859E-01
X   609  609X      1.255783284208587E+07
Y   609  609Y     -8.749915396068874E+05
Z   609  609Z     -2.018768959466148E+06
DX  609  609DX    -4.803246532599998E-01
DY  609  609DY    -1.541781360085140E+00
DZ  609  609DZ    -6.314043591767403E-01
X   612  612X      3.738615659057003E+05
Y   612  612Y      3.953359239807873E+04
Z   612  612Z     -3.545887266284899E+04
DX  612  612DX    -1.187279691695632E+00
DY  612  612DY     9.924294926104087E+00
DZ  612  612DZ    -6.638881586753129E-01
X   613  613X      3.980007704497091E+04
Y   613  613Y      2.908479240985840E+05
Z   613  613Z     -2.364509944102134E+04
DX  613  613DX    -1.118377106622452E+01
DY  613  613DY     1.628229608932928E+00
DZ  613  613DZ     1.073237478206634E+00
X   614  614X      2.442956634496376E+05
Y   614  614Y     -1.641297489118599E+05
Z   614  614Z     -7.654151044318317E+03
DX  614  614DX     6.230220700701277E+00
DY  614  614DY     9.367967544113242E+00
DZ  614  614DZ    -1.521220773551656E+00
X   632  632X     -1.911576350177179E+05
Y   632  632Y     -3.134776897389231E+04
Z   632  632Z      1.874514333587252E+04
DX  632  632DX     2.344182860454193E+00
DY  632  632DY    -1.376370049070555E+01
DZ  632  632DZ     8.132509756879160E-01
